label,text
spam,Your inheritance from distant relative is waiting! Contact our attorney to process the transfer!
ham,Your expense report for the business trip has been verified and payment will be processed next week.
spam,Limited time: Premium Netflix account for just $1/year. Share with 6 family members. Get now!
spam,"Congratulations on your business inquiry! We want to offer you $50,000 business funding today!"
spam,You are selected as a beta tester! Get paid $500 per hour to test apps from home. Apply now!
ham,The procurement team needs the technical specifications document before they can raise the purchase order.
ham,Looking forward to seeing you at the annual tech conference scheduled for next month in Delhi.
spam,Your annual car inspection is overdue! Renew online now to avoid heavy fines and penalties!
spam,"You are pre-approved for a $50,000 loan! Apply now, instant approval guaranteed within minutes!"
ham,The team lunch outing is confirmed for Friday at 12:30 PM at the rooftop restaurant downtown.
spam,WINNER! You have been specially chosen for our exclusive customer loyalty reward program!
ham,The client has escalated an issue with the latest release. Please prioritize the fix immediately.
spam,You qualify for student loan forgiveness! Apply immediately before program ends this week!
ham,Your project has been assigned a new technical lead effective from the beginning of next quarter.
ham,The parking slot allocation for new employees will be announced by facilities team this Friday.
ham,The legal team has reviewed the partnership agreement and shared their comments for incorporation.
ham,The data backup verification process has been completed and all critical data is properly secured.
spam,Your package could not be delivered. Click link to reschedule and provide delivery information.
ham,Just wanted to follow up on our conversation from last week about the new project timeline.
ham,Reminder to update your passwords as per the new company security policy effective from Monday.
ham,The monthly all-hands call recording has been uploaded to the company portal for those who missed it.
spam,URGENT: Your bank account has been suspended. Verify immediately at our website to avoid closure.
ham,Thanks for staying late yesterday to help complete the urgent client deliverable before the deadline.
ham,Congratulations on your promotion to Senior Software Engineer! Your dedication has been recognized!
spam,FREE electricity for life with our revolutionary solar technology! Limited installations available!
spam,Turn your spare time into money! Our simple system pays $50 per hour. No experience required!
ham,Quick reminder that the company anniversary celebration is happening this evening at the main lobby.
ham,Your reimbursement claim has been processed and amount will be credited to your account by Friday.
spam,Discount prescription medicines delivered to your door! Save 90% versus local pharmacy prices!
spam,BUY NOW! Cheap Viagra online. No prescription needed. Discreet delivery guaranteed worldwide!
ham,Please review the performance metrics dashboard and share your analysis with the business team.
spam,You have a secret admirer! Find out who likes you on Facebook! Click here to discover now!
ham,The weekly status report needs to be submitted to management by Thursday evening at 5 PM.
spam,Free iPhone giveaway! Apple is giving away 1000 iPhones to celebrate anniversary. Claim yours!
ham,Your visitor access badge for the client site has been arranged and will be ready by tomorrow morning.
ham,The annual company picnic is scheduled for the last Saturday of this month at City Park.
ham,The client has approved the project proposal and we can start the development phase from next Monday.
spam,Free background check on anyone! Find out the truth about people around you. Search for free!
spam,Act immediately! IRS has filed lawsuit against you for tax fraud. Call our helpline to settle!
spam,Free satellite TV for life! No monthly bills ever again. Limited offer for your area only. Call!
ham,Please remember to log your daily stand-up updates in the project management board before noon.
ham,Please make sure to complete the mandatory cybersecurity awareness training module before Friday.
ham,Your work anniversary is coming up next week. The team has a small celebration planned for you!
spam,Earn extra cash by taking paid online surveys! Make $200 to $500 daily from your home!
ham,Your interview feedback form for the candidate you interviewed needs to be submitted by end of today.
spam,Your social security number has been compromised! Act now to protect your identity and credit!
ham,The quarterly business review presentation needs to be finalized and shared with leadership by Thursday.
ham,The new Python course I recommended is now available on Coursera with a 7-day free trial.
ham,Just checking if you have had a chance to review the technical specification document I shared.
spam,Work from home data entry jobs. Earn $50 per hour. No experience needed. Apply now for free!
spam,WIN WIN WIN! You are our lucky winner! Send your bank details to claim your prize money!
ham,The data science team has completed the initial model training and results look quite promising.
spam,Increase your credit score by 200 points overnight! Guaranteed results or full money back!
ham,Team building activities are planned for next Saturday morning. Please confirm your participation.
spam,Free home DNA test kit! Discover your ancestry and health risks. Just pay small shipping cost!
spam,Free consultation with top lawyers about your accident compensation claim. No win no fee!
ham,The quarterly report is ready for review. Please find it attached for your careful consideration.
spam,MASSIVE CLEARANCE SALE: Designer clothes at 99% off original price! Shop now before stocks end!
ham,The new joiner orientation program for this month batch is scheduled for Monday morning at 9 AM.
ham,Please review the attached service contract before signing and sending it back to us.
ham,The API documentation has been updated with the latest endpoints. Please review before integration.
ham,The recruitment process for the senior data scientist position has been put on hold temporarily.
spam,"Make $500 today by completing simple online tasks! Flexible hours, work from anywhere in world!"
ham,The technical documentation review cycle is complete. Final version has been uploaded to confluence.
ham,Your conference travel reimbursement has been approved. Please submit receipts to the finance team.
ham,The design team has uploaded the revised wireframes for the mobile app to the Figma project board.
ham,The security audit findings have been shared with the development team for remediation this sprint.
spam,Your Google account requires immediate verification. Failure to comply will result in termination!
spam,Exclusive club membership free for first month! Meet rich and successful people in your city!
ham,The new HR policy document has been uploaded to the company intranet portal for your reference.
spam,Hot cryptocurrency tips! Our AI predicts market movements. Join premium group for free signals!
spam,You have been specially invited to receive complimentary luxury vacation package. Claim yours now!
ham,Please share your availability for the product planning workshop scheduled for early next month.
ham,The team has successfully resolved the production incident and root cause analysis is being documented.
ham,The development environment has been set up for the new team members joining us next week.
spam,Earn money fast! Multi-level marketing opportunity. Join our team today for FREE!
spam,WARNING: Multiple failed login attempts on your account! Secure it immediately by clicking here!
spam,"WINNER ANNOUNCEMENT: You are this week lottery jackpot winner! Claim $500,000 prize immediately!"
ham,The new development guidelines document has been shared and should be followed from next sprint.
ham,Your package has been shipped and will arrive by Wednesday afternoon according to tracking.
ham,Please update the project risk register with the new risks identified during last week sprint review.
ham,Your dentist appointment is confirmed for Thursday at 2:30 PM. Please arrive 10 minutes early.
ham,Please find attached the invoice for last month services. Let me know if you have questions.
ham,Could you join the call tomorrow at 2 PM to discuss the data migration plan with the database team?
ham,Can you please review the project proposal and send your feedback by tomorrow morning?
ham,Your health insurance renewal is due next month. HR will circulate details of available plans soon.
spam,Exclusive member deal! Buy cheap medicines online without prescription. Free worldwide shipping!
ham,Your code changes have passed all automated test cases and are ready for production deployment.
ham,The sprint review meeting yesterday was very productive. Clients appreciated the demo features shown.
spam,"You have reward points expiring soon! Redeem now for free flights, hotels and gift vouchers!"
ham,The new feature you developed has been successfully deployed to production environment today.
ham,The system upgrade has been completed and all services are now running normally on new infrastructure.
ham,The product roadmap presentation is scheduled for tomorrow. Please join the all-hands meeting.
spam,Join thousands earning passive income online! Our system works even while you sleep. Start free!
spam,"Your email address has been randomly selected to receive $500,000 cash prize. Verify to claim!"
spam,Hot investment alert! Cannabis company about to explode! Buy stock now before massive price surge!
spam,You left items in your cart! Complete purchase now and get 50% discount plus free shipping!
ham,We have received positive feedback from the client about the quality of deliverables in this sprint.
spam,Limited time offer: Get all streaming services for just $5/month combined. Subscribe today!
ham,Great job on the client presentation! The management team was very impressed with your work.
spam,Free pet insurance for one year! Protect your beloved pet without paying any premium for 12 months!
ham,The office internet will be upgraded this weekend for better speed and reliability going forward.
ham,"Team, please remember that the system will be down for maintenance this Saturday from 6 AM to 10 AM."
ham,Could you please check if the third-party API integration is working correctly after the update?
spam,Miracle diabetes cure doctors are hiding from you! Natural remedy works in just 2 weeks!
spam,Amazing work from home job! Earn $800 daily processing simple insurance forms. Apply now free!
spam,BREAKING: Secret investment trick banks don't want you to know. Double your money guaranteed!
spam,Claim your free gift card worth $200! Quick survey takes only 2 minutes of your valuable time!
spam,Congratulations! Your name was drawn in our monthly lucky draw! Claim cash prize immediately!
spam,Free money alert! Government is giving grants to people in your area. Apply today before deadline!
spam,You won free grocery shopping worth $500! Collect your prize at nearest store with this email!
spam,Claim unclaimed government money with your name on it! Billions waiting to be claimed. Apply now!
ham,Please submit your project estimates for the next quarter planning session scheduled for Wednesday.
ham,The automated backup of your project data has been completed successfully without any errors.
ham,"Hi, just wanted to check if you received my previous email about the annual budget proposal."
ham,Congratulations to the entire engineering team for successfully completing the cloud migration project!
ham,Could you help me understand the data pipeline architecture we discussed during last sprint review?
spam,Exciting job offer: Earn $5000 weekly as our regional representative. Work just 2 hours daily!
ham,The monthly newsletter highlighting team achievements and upcoming events has been sent to all staff.
ham,The product launch event rehearsal is scheduled for tomorrow afternoon. All presenters please attend.
spam,"Incredible business idea will make you $10,000 first month! Proven by thousands. Learn free today!"
spam,Hot singles in your area want to meet you tonight! Click here for FREE unlimited access!
spam,FREE online degree from accredited university! Get diploma without attending classes. Enroll now!
spam,New business opportunity with 500% ROI guaranteed! Join our investment club today for free!
ham,Your suggestion about automating the report generation process has been added to the product backlog.
spam,Amazing business opportunity! Be your own boss. Earn unlimited passive income from home!
spam,FREE weight loss pills! Doctors HATE this trick. Lose 30kg in 30 days GUARANTEED results!
spam,You have been offered an exclusive partnership deal worth millions. Reply to discuss details!
spam,Earn bitcoins free every hour! No investment needed. Our mining software works automatically!
ham,Please bring your laptop to the technical workshop tomorrow for hands-on coding exercises.
ham,The new employee handbook has been revised and printed copies will be distributed by HR on Monday.
spam,Nigerian prince needs your help to transfer $10 million. You get 30% commission guaranteed!
ham,Your mentoring session with the new graduate trainee is scheduled for tomorrow at 11 AM in Lab 3.
spam,FREE retirement planning consultation! Secure your financial future today. Limited spots available!
ham,The HR team is organizing a wellness webinar on stress management scheduled for this Thursday 5 PM.
ham,Your suggestion for improving the code review process has been accepted and will be implemented soon.
ham,Your proposal for the research collaboration has been accepted by the university partnership committee.
spam,Earn $1000 per day with our automated trading bot! No knowledge required. Start for free today!
ham,Your annual performance review is scheduled for next Tuesday at 11 AM with HR department.
spam,Exclusive: Buy luxury designer bags at factory price. 95% cheaper than retail stores. Shop now!
ham,Your request for remote work arrangement from next month has been approved by your reporting manager.
spam,LAST CHANCE: Your Amazon Prime benefits expire today. Click to continue enjoying all benefits!
spam,Free vacation package to Maldives! You won our international travel sweepstakes! Claim now!
spam,"EXCLUSIVE: Only 10 spots left in our premium mentoring program. Earn $50,000 first month!"
spam,Lowest prices on brand name medications! FDA approved. No prescription needed. Order online now!
spam,Amazing new app pays you just for walking! Earn $50 daily doing what you already do. Download!
ham,The new version of the internal project tracking tool will go live next Monday after testing.
spam,Congratulations! You have won a FREE prize worth $1000! Click here NOW to claim your reward!
ham,The knowledge sharing session on Kubernetes deployment will be held this Thursday at 4 PM in Lab 2.
ham,Can you share the GitHub repository link for the machine learning project we discussed?
ham,The sprint planning session is scheduled for Monday morning. Please come prepared with your estimates.
spam,You qualify for a free solar panel installation! Government subsidized program. Apply now today!
ham,We need your input on the proposed org structure changes before the management meeting next Friday.
spam,Your computer is running slow! Download our optimizer to speed it up instantly. 100% free!
ham,Please update your emergency contact information in the HR system before end of this month.
ham,Your cab booking for the airport has been confirmed and driver will arrive at 6 AM tomorrow.
spam,Verify your account immediately or it will be permanently deleted forever. Click the link now!
spam,"Get rich quick! Work from home, earn $5000/week. No experience needed. FREE signup today!"
spam,Your bank is offering special promotional interest rate of 15%. Apply for fixed deposit today!
spam,Your device is infected with dangerous virus! Download our free antivirus software immediately!
ham,Please acknowledge receipt of the updated company leave policy document sent earlier this week.
ham,Your out-of-office message has been set up correctly. Emails will be forwarded to your backup person.
ham,The gym membership you signed up for is now active. Your welcome kit will arrive tomorrow.
ham,Please complete the employee satisfaction survey by this Friday to help us improve our work culture.
spam,Amazing opportunity: Buy foreclosed homes for pennies on dollar! Our exclusive list available free!
ham,The office will be closed on account of the national holiday next Monday. Enjoy your long weekend!
ham,Happy Birthday! Hope you have a wonderful day filled with joy and celebrations with family.
spam,Join elite mastermind group of millionaires! Learn their secrets to unlimited wealth. Apply now!
ham,Please coordinate with the design team to finalize the UI mockups before the client review next week.
ham,Can we reschedule our call to 3 PM instead of 2 PM tomorrow? Something came up at my end.
spam,Cheap flights to anywhere in the world! Book now and save up to 90% on international flights!
spam,Act now! Limited time deal. 95% off all products. Massive sale ends in exactly 1 hour!
ham,Please check your email for the invitation to the exclusive webinar on advanced machine learning topics.
spam,Special promo: Buy 1 get 5 FREE! Today only! Order now before limited stock completely runs out!
spam,Crypto exchange is giving away $500 in Bitcoin to new users! Sign up and claim your coins now!
spam,Get approved for mortgage regardless of credit score! Our lenders approve everyone. Apply today!
ham,I have attached the meeting notes from today session. Please review and share your comments.
ham,The code review for the authentication module has been completed with minor suggestions included.
spam,ALERT: Suspicious login detected on your account! Verify your identity immediately to secure it!
ham,The quarterly townhall meeting will be conducted virtually next Thursday at 3 PM. Link to follow.
ham,Congratulations on completing the professional certification course successfully! Well done!
spam,"CLICK NOW: You have been pre-selected to receive $10,000 government stimulus check. Claim today!"
ham,Reminder: Team meeting scheduled for Monday at 10 AM in Conference Room B on second floor.
ham,The new intern will be joining our development team starting next Monday morning at 9 AM.
spam,You have pending rewards worth $500! Complete final verification step to receive your payment!
spam,Congratulations! You beat 1 million players and won our online game tournament grand prize!
ham,Your session proposal for the internal tech talk series has been accepted for next month schedule.
spam,Urgent security alert! Your account has been compromised. Click here to reset password now!
spam,SECRET: This simple trick earns $500 daily online. Thousands already using it. Learn for free!
spam,Earn $3000 weekly from home with our proven system. No skills required. Start today for free!
spam,Your account has reached its storage limit! Click to upgrade and get 1TB free for limited time!
ham,Mom wants to know if you are coming home for Diwali this year. Please let her know your plans.
ham,The company is organizing a charity drive next weekend. Participation is completely voluntary.
spam,Your utility bill shows you are overpaying by $200 monthly! Switch providers and save money!
ham,Just a heads up that the road near office is under construction. Better to take alternate route.
ham,The client has requested a demo of the new dashboard feature. Can you prepare it by Friday?
ham,Congratulations to the entire team on successfully completing the project delivery ahead of schedule!
ham,Your annual tax declaration form needs to be submitted to the HR department before end of this month.
spam,Your vehicle warranty is about to expire! Extended coverage available at special discounted price!
spam,Amazing anti-aging cream! Look 20 years younger in just 7 days! Free trial available now!
ham,The office renovation work will begin next month. Temporary seating arrangements will be communicated.
ham,Please ensure all open items from the last retrospective have been addressed before next review.
spam,Free samples of our new energy drink! Just pay small shipping fee. Limited stocks available now!
spam,Get whiter teeth in 7 days with this dentist trick! Order free sample kit while stocks last!
spam,ALERT: Your PayPal account will be closed. Login now to verify your information immediately!
ham,Please coordinate with the operations team regarding the logistics for the upcoming product launch event.
spam,"Congratulations! Your email won $750,000 in our international lottery! Send details to claim prize!"
ham,Your vehicle service is due next month. Please book an appointment at your nearest service center.
ham,Happy to inform you that your leave request for next week has been approved by your manager.
spam,Exclusive stock tip! This penny stock will increase 5000% this week! Buy immediately before rise!
ham,Your flight booking is confirmed. Check-in opens 24 hours before scheduled departure time.
spam,Your bank account shows suspicious activity. Verify your identity immediately to avoid suspension!
ham,Your application for the internal transfer to the machine learning team has been accepted. Welcome!
ham,The mentorship program matching has been completed and you have been paired with a senior colleague.
ham,The library books you borrowed are due back next Monday. Please return to avoid any fines.
spam,Make money with cryptocurrency even if market goes down! Our bot trades 24/7 automatically!
ham,The new project management tool has been rolled out across all teams. Training video shared separately.
spam,We need mystery shoppers in your area! Earn $300 per day evaluating local businesses. Apply!
ham,The database migration has been completed successfully with zero downtime during the maintenance window.
spam,"Limited seats left! Online training course teaches you to earn $10,000 monthly. Enroll for free!"
ham,Your electricity bill for this month is available to view in your online account portal.
spam,Proven forex trading strategy earns $3000 daily! Join our VIP signals group for free today!
spam,Your Microsoft account will expire in 24 hours. Click to renew and keep all your data safe!
ham,Please review the draft press release about our new product launch and provide your editorial feedback.
ham,Lunch today? I was thinking we could try that new Italian restaurant that opened downtown.
spam,Cheap mortgage rates! Refinance now and save thousands of dollars! No credit check needed!
ham,Please submit your timesheet by end of day Friday so payroll can be processed on time.
ham,The vendor has agreed to our terms and the contract will be signed by end of this week officially.
ham,The canteen menu has been updated with healthier options available from next week onwards.
spam,Free home security system worth $500! Installation included. Limited availability in your area!
ham,Thanks for covering my shift last week when I was sick. I really appreciate your help so much.
spam,URGENT tax refund pending! Government owes you money. Submit claim form today before deadline!
spam,FREE psychic reading! Discover your future and find true love. Call our psychic hotline now!
spam,Your domain name has expired! Renew immediately to prevent competitors from stealing your traffic!
spam,Special discount on all insurance plans. Save 80% today. Limited spots available. Apply now!
spam,Cheap international calling cards! Call anywhere in world for just 1 cent per minute. Buy now!
ham,The feedback from the user testing session has been compiled and shared in the shared drive folder.
ham,Interesting article on machine learning I thought you might enjoy reading in your free time.
spam,Congratulations! You completed our survey! Claim $100 reward card now before it expires today!
ham,Please make sure the development environment documentation is up to date before new joiners arrive.
spam,You have been selected for exclusive credit card with no annual fee and unlimited cashback rewards!
spam,Debt relief program! We can legally eliminate all your debt completely. Free consultation available!
ham,The client satisfaction survey results show 92% positive ratings for our service quality this month.
spam,Join our network marketing team and earn unlimited passive income while you sleep every night!
ham,Please ensure all security patches are applied to production servers before the audit next week.
spam,"MAKE MONEY ONLINE! Proven system earns $10,000 monthly. Start working from home today FREE!"
spam,Your credit card has suspicious charges! Call us immediately to dispute and protect your account!
ham,The budget proposal for Q4 needs your approval before we can proceed with the procurement process.
spam,Cheap generic Cialis and Viagra online! No doctor visit needed. Discreet packaging guaranteed!
ham,The new coffee machine in the break room is finally working after two weeks of being broken.
spam,"Rolex watches, Louis Vuitton bags at 90% discount! Authentic goods at unbelievable cheap price!"
spam,EXCLUSIVE OFFER: Get 1000 Instagram followers for free! Boost your social media profile today!
ham,Your blood test results are ready for collection. Please visit the clinic during working hours.
ham,The new office branch in Bangalore will be inaugurated next month. Team leads are invited to attend.
ham,"Hey, are you coming to the office party on Friday evening? It should be fun!"
ham,The conference registration deadline is this Friday. Please register soon to secure your seat.
ham,Thanks so much for helping me with the presentation yesterday. Really appreciated your support!
spam,"You have unclaimed lottery winnings of $250,000. Contact our agent today to process payment!"
ham,Your salary slip for last month has been generated and uploaded to the employee self-service portal.
spam,Claim your free weight loss supplement! Clinically tested. Lose 20 pounds in just 30 days!
ham,Your LinkedIn recommendation request has been received and I will write one for you this weekend.
spam,Your subscription expired! Renew now to avoid permanent service interruption. Click here immediately!
spam,FREE MONEY: Claim your $1000 emergency stimulus check before funds are completely exhausted!
ham,We are planning a team outing next weekend. Please fill the availability form by Thursday.
ham,The server maintenance window is scheduled for Sunday night from 2 AM to 5 AM this weekend.
spam,Secret method to clear all debt legally! Banks hate this one trick. Free consultation available!
ham,The mandatory training session on data privacy compliance is scheduled for all employees next week.
ham,We have shortlisted three vendors for the new software tool. Please share your technical assessment.
ham,The Q3 performance targets have been shared. Please review and discuss with your manager this week.
ham,The research paper you submitted has been accepted for publication in the journal! Congratulations!
spam,Lose weight without dieting or exercise! Our magic supplement melts fat automatically overnight!
spam,CONGRATULATIONS! iPhone 15 has been reserved in your name! Complete order at special price now!
ham,The client demo went really well today. They are very happy with the progress made so far.
ham,The project deadline has been extended to the end of the month due to client request changes.
ham,Please fill the travel preference form for the upcoming team offsite retreat at the hill station.
spam,Urgent: Your PayPal account shows unauthorized access. Secure your account within 24 hours!
spam,You have been selected! Claim your free iPhone 15 Pro. Limited offer expires tonight!
spam,You are invited to participate in exclusive focus group study. Earn $300 for just 2 hours work!
ham,The IT helpdesk ticket you raised has been resolved. Please confirm if the issue is fully fixed.
spam,Earn extra $2000 this weekend by participating in our exclusive paid research panel. Apply now!
ham,"Hi, could you please send me the updated database schema for the new payment gateway integration?"
ham,Your presentation at the industry conference received excellent feedback from the audience yesterday.
spam,Get rich with real estate! Our mentors teach you to flip houses with no money down. Join free!
spam,FINAL NOTICE: You owe taxes. Pay immediately or face serious legal action. Call our helpline now!
ham,We are planning to upgrade the company VPN solution next quarter for better security and performance.
spam,Special offer for senior citizens! Receive up to $1800 per month in additional benefits. Apply!
spam,Your LinkedIn account will be deleted unless you verify it now. Click link within 48 hours!
spam,FINAL WARNING: Legal action will be taken against you. Pay outstanding amount immediately today!
spam,FREE casino bonus $500! No deposit required! Win big money tonight! Join thousands of winners!
spam,Your computer has a virus! Call our toll-free number NOW for immediate technical help!
ham,Your probation period review is coming up next month. Schedule time with your manager this week.
spam,Congratulations! You are the 1 millionth visitor! Click here to claim your special grand prize!
ham,The finance team requires your project budget utilization report before end of this financial quarter.
spam,Become a millionaire in 6 months following our simple wealth system. Money back guarantee!
spam,OFFER EXPIRES TONIGHT: Get unlimited lifetime software license for just $9.99. Act fast now!
spam,EXCLUSIVE INVESTMENT: New cryptocurrency about to launch will make early investors millionaires!
spam,FREE medical alert system for seniors! Get help at touch of button. No monthly fees ever!
spam,"BREAKING NEWS: New law entitles you to $10,000 if you were injured in accident past 3 years!"
spam,Investment opportunity! Guaranteed 200% returns in 30 days! Risk-free money making scheme!
spam,Congratulations on being selected! Receive $1000 Amazon gift card. Complete short survey now!
